Item Name,Item Category,Pack,Period,Quantity Used,PSU Semester
PUDDING RTE CHOCOLATE,Food,6-#10 CN/CS,06/24/25-07/31/25,10,Summer Semester
PUDDING RTE VANILLA,Food,6-#10 CN/CS,06/24/25-07/31/25,7,Summer Semester
"PUFF PASTRY SHT 10""X15""",Food,20-12OZ/CS,06/24/25-07/31/25,2,Summer Semester
PUMP MONIN SYRUP,Food,EACH,06/24/25-07/31/25,0,Summer Semester
REGISTER TAPE MICROS SYSTEM,Food,50 ROLL/CS,06/24/25-07/31/25,6,Summer Semester
REGISTER TAPE STICKY 80MM,Food,18 ROLLS/CS,06/24/25-07/31/25,8,Summer Semester
REUSABLE SHOPPING BAG,Supply,200 EA/CS,06/24/25-07/31/25,0,Summer Semester
RIBBON FOR 2GO LABEL PRINTER,Food,24 ROLLS/CS,06/24/25-07/31/25,0,Summer Semester
RICE MILK KOSHER,Food,6-32 OZ/CS,06/24/25-07/31/25,22,Summer Semester
ROLL CROISSANT ROUND 2.5OZ,Food,80 EA/CS,06/24/25-07/31/25,160,Summer Semester
ROLL DINNER ASST,Food,96 EA/CS,06/24/25-07/31/25,2,Summer Semester
ROLL GF HAMBURGER,Food,6-4 CT/CS,06/24/25-07/31/25,7,Summer Semester
ROLL GF HOAGIE,Food,12 EA/CASE,06/24/25-07/31/25,11,Summer Semester
ROLL HAMBURGER HAWAIIAN,Food,12-8PK/CS,06/24/25-07/31/25,0,Summer Semester
ROLL HAWAIIAN ORIGINAL SWEET,Food,240 EA/CS,06/24/25-07/31/25,0,Summer Semester
ROLL HOT DOG POTATO,Food,144 EA/CS,06/24/25-07/31/25,5,Summer Semester
ROLL POTATO,Food,120 EA/CS,06/24/25-07/31/25,91,Summer Semester
SAFTY BAG OPENER,Supply,6EA/BOX,06/24/25-07/31/25,14,Summer Semester
SAUCE BBQ,Food,4-1GAL/CASE,06/24/25-07/31/25,16,Summer Semester
SAUCE BBQ DISP PACK,Food,2-1.5GAL/CS,06/24/25-07/31/25,24,Summer Semester
SAUCE BLACK BEAN FERMENTED,Food,6-2 LTR/CASE,06/24/25-07/31/25,0,Summer Semester
SAUCE CATSUP,Food,3 GAL/CS,06/24/25-07/31/25,81,Summer Semester
SAUCE CATSUP DISP PACK KOSHER,Food,2-1.5GAL/CS,06/24/25-07/31/25,74,Summer Semester
SAUCE CATSUP PICKLE DISP PACK,Food,2-1.5 GAL/CS,06/24/25-07/31/25,0,Summer Semester
SAUCE CHEESE CHEDDAR,Food,6/10 CN,06/24/25-07/31/25,5,Summer Semester
SAUCE CHEESE NACHO,Food,4-107 OZ,06/24/25-07/31/25,3,Summer Semester
SAUCE CHEESE QUESO BLANCO,Food,6-60 OZ/CS,06/24/25-07/31/25,68,Summer Semester
SAUCE CHILI,Food,6-#10 CN/CS,06/24/25-07/31/25,1,Summer Semester
SAUCE CHILI SRIRACHA KOSHER,Food,12-28 OZ/CS,06/24/25-07/31/25,8,Summer Semester
SAUCE FISH,Food,12-25.4OZ/CS,06/24/25-07/31/25,0,Summer Semester
SAUCE FRANKS BUFFALO DISP PACK,Food,2-1.5 GAL/CS,06/24/25-07/31/25,19,Summer Semester
SAUCE FRANKS STINGIN HONEY GARLIC,Food,2 - 1 GAL/CS,06/24/25-07/31/25,6,Summer Semester
SAUCE FZN HUNAN,Food,4-64OZ/CS,06/24/25-07/31/25,0,Summer Semester
SAUCE FZN STIR FRY DARK,Food,6-4 LB/CS,06/24/25-07/31/25,0,Summer Semester
SAUCE FZN THAI CHILI GARLIC,Food,6-4 LB/CS,06/24/25-07/31/25,4,Summer Semester
SAUCE GF TAMARI SOY,Food,6-1.69 QT/CS,06/24/25-07/31/25,8,Summer Semester
SAUCE HONEY MUSTARD DISP PACK,Food,2-1.5 GAL/CS,06/24/25-07/31/25,20,Summer Semester
SAUCE HOT KOSHER,Food,4 GAL/CASE,06/24/25-07/31/25,22,Summer Semester
SAUCE MUSTARD DIJON KOSHER,Food,6-48OZ/CASE,06/24/25-07/31/25,3,Summer Semester
SAUCE MUSTARD WHL GRAIN,Food,GALLON,06/24/25-07/31/25,3,Summer Semester
SAUCE MUSTARD YEL,Food,6-104 OZ/CS,06/24/25-07/31/25,3,Summer Semester
SAUCE MUSTARD YEL DISP PACK,Food,2-1.5GAL/CS,06/24/25-07/31/25,8,Summer Semester
SAUCE PASTA,Food,6-#10 CN/CS,06/24/25-07/31/25,190,Summer Semester
SAUCE PIZZA GF,Food,6/10 CN,06/24/25-07/31/25,84,Summer Semester
SAUCE RANCH DISP PACK,Food,2-1.5 GAL/CS,06/24/25-07/31/25,24,Summer Semester
SAUCE REST A-1 15OZ,Food,12-15 OZ/CS,06/24/25-07/31/25,3,Summer Semester
SAUCE SALSA,Food,4 GAL/CASE,06/24/25-07/31/25,23,Summer Semester
SAUCE SOY,Food,4-1GAL/CS,06/24/25-07/31/25,10,Summer Semester
SAUCE SWEET BABY RAY KOREAN BBQ,Food,4-64 OZ/CS,06/24/25-07/31/25,7,Summer Semester
SAUCE SWEET BABY RAY NASHVILLE,Food,4-64 OZ/CS,06/24/25-07/31/25,2,Summer Semester
SAUCE TABASCO,Food,12/12 OZ,06/24/25-07/31/25,5,Summer Semester
SAUCE TACO,Food,4/GAL,06/24/25-07/31/25,0,Summer Semester
SAUCE TERIYAKI,Food,6-5 LB/CS,06/24/25-07/31/25,0,Summer Semester
SAUCE WORCESTERSHIRE,Food,4 GAL/CS,06/24/25-07/31/25,1,Summer Semester
SAUSAGE BRATWURST,Food,CATCH WGT/#,06/24/25-07/31/25,0,Summer Semester
SBC CLNR BARISTA MACHINE URNEX,Food,100 EA/JAR,06/24/25-07/31/25,0,Summer Semester
SBC CUP HOT 12OZ,Supply,920 EA/CS,06/24/25-07/31/25,0,Summer Semester
SBC CUP HOT 16OZ,Supply,920 EA/CS,06/24/25-07/31/25,0,Summer Semester
SBC CUP HOT SLEEVE 12/16OZ,Supply,1380 EA/CS,06/24/25-07/31/25,0,Summer Semester
SEAWEED SALAD,Food,4-4.4 #/CS,06/24/25-07/31/25,0,Summer Semester
SEITAN BULK REF,Food,2-5 LB/CS,06/24/25-07/31/25,7,Summer Semester
SHELL GF PIZZA,Food,20 EA/CS,06/24/25-07/31/25,2,Summer Semester
SHELLS TACO,Food,200/CS,06/24/25-07/31/25,14,Summer Semester
SHIRT ABS POLO MENS BLK 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS BLK 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS BLK LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS BLK MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS BLK XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NAVY 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NAVY 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NAVY LAR,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NAVY MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NAVY XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NVY/WHT 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NVY/WHT 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NVY/WHT L,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NVY/WHT M,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO MENS NVY/WHT XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS BLK 2XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS BLK 3XL,Food,EACH,06/24/25-07/31/25,0,Summer Semester
SHIRT ABS POLO WMNS BLK MED,Food,EACH,06/24/25-07/31/25,0,Summer Semester
