Item Name,PSU Semester,Quantity Used
# BTRSTA CLNR POWDER KAY5,Spring Semester,0.25
# BTRSTA CLNR POWDER KAY5,Summer Semester,0.0
# BTRSTA CLNR POWDER KAY5,Winter Break,1.0
# BTRSTA CLNR TABLET,Fall Semester,0.0
# BTRSTA CLNR TABLET,Spring Semester,0.25
# BTRSTA CLNR TABLET,Summer Semester,0.0
# BTRSTA CLNR TABLET,Winter Break,1.0
# BTRSTA COCONUT,Fall Semester,1.3333333333333333
# BTRSTA COCONUT,Spring Semester,0.0
# BTRSTA COCONUT,Summer Semester,0.0
# BTRSTA COCONUT,Winter Break,3.0
# BTRSTA CREAMER ND ORG,Fall Semester,12.333333333333334
# BTRSTA CREAMER ND ORG,Spring Semester,2.75
# BTRSTA CREAMER ND ORG,Summer Semester,0.0
# BTRSTA CREAMER ND ORG,Winter Break,14.0
# BTRSTA DRAGONFRUIT,Fall Semester,2.6666666666666665
# BTRSTA DRAGONFRUIT,Spring Semester,0.0
# BTRSTA DRAGONFRUIT,Summer Semester,0.0
# BTRSTA DRAGONFRUIT,Winter Break,2.0
# BTRSTA FILM,Fall Semester,1.0
# BTRSTA FILM,Spring Semester,0.0
# BTRSTA FILM,Summer Semester,0.0
# BTRSTA FILM,Winter Break,2.0
# BTRSTA FILTER CARTRIDGE,Fall Semester,0.0
# BTRSTA FILTER CARTRIDGE,Spring Semester,0.0
# BTRSTA FILTER CARTRIDGE,Summer Semester,0.0
# BTRSTA FILTER CARTRIDGE,Winter Break,0.0
# BTRSTA MANGO,Fall Semester,2.6666666666666665
# BTRSTA MANGO,Spring Semester,2.0
# BTRSTA MANGO,Summer Semester,0.0
# BTRSTA MANGO,Winter Break,3.0
# BTRSTA PASSION FRUIT,Fall Semester,2.6666666666666665
# BTRSTA PASSION FRUIT,Spring Semester,0.0
# BTRSTA PASSION FRUIT,Summer Semester,0.0
# BTRSTA PASSION FRUIT,Winter Break,3.0
# BTRSTA PLASTIC CADDY,Fall Semester,0.0
# BTRSTA PLASTIC CADDY,Spring Semester,0.0
# BTRSTA PLASTIC CADDY,Summer Semester,0.0
# BTRSTA PLASTIC CADDY,Winter Break,0.0
# BTRSTA SALTED CARAMEL,Fall Semester,2.6666666666666665
# BTRSTA SALTED CARAMEL,Spring Semester,0.5
# BTRSTA SALTED CARAMEL,Summer Semester,0.0
# BTRSTA SALTED CARAMEL,Winter Break,4.5
# BTRSTA STRAWBERRY,Fall Semester,2.6666666666666665
# BTRSTA STRAWBERRY,Spring Semester,2.75
# BTRSTA STRAWBERRY,Summer Semester,0.0
# BTRSTA STRAWBERRY,Winter Break,5.5
# BTRSTA TAPIOCA BROWN SUGAR,Fall Semester,4.333333333333333
# BTRSTA TAPIOCA BROWN SUGAR,Spring Semester,2.25
# BTRSTA TAPIOCA BROWN SUGAR,Summer Semester,0.0
# BTRSTA TAPIOCA BROWN SUGAR,Winter Break,18.5
# BTRSTA THAI TEA,Fall Semester,5.333333333333333
# BTRSTA THAI TEA,Spring Semester,0.0
# BTRSTA THAI TEA,Summer Semester,0.0
# BTRSTA THAI TEA,Winter Break,5.0
# CHEEZ WHIZ SPREAD POUCH,Fall Semester,31.0
# CHEEZ WHIZ SPREAD POUCH,Spring Semester,11.75
# CHEEZ WHIZ SPREAD POUCH,Summer Semester,13.0
# CHEEZ WHIZ SPREAD POUCH,Winter Break,16.5
# CHIX BONES KOSHER,Fall Semester,235.33333333333334
# CHIX BONES KOSHER,Spring Semester,26.0
# CHIX BONES KOSHER,Summer Semester,25.666666666666668
# CHIX BONES KOSHER,Winter Break,97.0
# CHIX BRST BNLS SKNLS KOSHER,Fall Semester,0.0
# CHIX BRST BNLS SKNLS KOSHER,Spring Semester,0.0
# CHIX BRST BNLS SKNLS KOSHER,Summer Semester,0.0
# CHIX BRST BNLS SKNLS KOSHER,Winter Break,0.0
# CHIX TENDERS KOSHER,Fall Semester,17.666666666666668
# CHIX TENDERS KOSHER,Spring Semester,6.0
# CHIX TENDERS KOSHER,Summer Semester,0.6666666666666666
# CHIX TENDERS KOSHER,Winter Break,20.5
# CHIX THIGH BNLS SKNLS SPLIT KOSHER,Fall Semester,937.0
# CHIX THIGH BNLS SKNLS SPLIT KOSHER,Spring Semester,702.0
# CHIX THIGH BNLS SKNLS SPLIT KOSHER,Summer Semester,540.0
# CHIX THIGH BNLS SKNLS SPLIT KOSHER,Winter Break,638.0
# CHO BREAD NAAN,Fall Semester,86.33333333333333
# CHO BREAD NAAN,Spring Semester,61.5
# CHO BREAD NAAN,Summer Semester,7.666666666666667
# CHO BREAD NAAN,Winter Break,75.5
# CHO CHAI TEA,Fall Semester,31.666666666666668
# CHO CHAI TEA,Spring Semester,17.5
# CHO CHAI TEA,Summer Semester,6.0
# CHO CHAI TEA,Winter Break,26.0
# CHO CHEESE PANEER CUBES,Fall Semester,45.666666666666664
# CHO CHEESE PANEER CUBES,Spring Semester,32.5
# CHO CHEESE PANEER CUBES,Summer Semester,15.0
# CHO CHEESE PANEER CUBES,Winter Break,31.0
# CHO LABEL MANGO LASSI,Fall Semester,0.0
# CHO LABEL MANGO LASSI,Spring Semester,0.0
# CHO LABEL MANGO LASSI,Summer Semester,0.0
# CHO LABEL MANGO LASSI,Winter Break,0.0
# CHO MANGO LASSI,Fall Semester,80.0
