Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
$$ Yog Chob Mixed Berry,12 EA/CS,54,58,10,B,False
Bread Naan Tandoori,48 EA/CS,54,56,10,B,False
Croissant Choc Rtb Lg,70 EA/CS,54,50,11,B,False
Croutons Seasoned,4-2.5LB/CS,53,60,6,B,False
Oatmilk Oatly Barista Bulk,12-32 OZ/CS,53,63,9,B,False
Gloves Vinyl Pf Med Disposable,1000 EA/CS,53,57,7,B,False
Stb Almond Milk Unflavored,8-64 OZ/CS,53,48,6,B,False
Bag 6 X 2 X 8 Artisan,1000 EA/CS,53,43,12,B,True
"Tortilla Flour 6""",24-12 EA/CS,51,57,7,B,False
Bagel Par Bkd Cinn Raisin,48 CT,51,42,11,B,False
Turkey Ground 90-10/93-7,CATCH WGT/#,49,82,8,B,True
Vgtn Burger Crumbles,10 LB/CS,47,43,8,B,False
$$ Yog Chob Non Fat Plain,12 EA/CS,47,39,4,B,False
Gardein Meatball Meatless,10#/CS,47,32,9,B,False
$$ Yog Chob Protein Vanilla,12 EA/CS,47,53,12,B,False
Clnr Ecl Oasis Quat Sanitizer,2.5GAL/CNTR,46,51,3,B,False
English Muffin Original,6/12PKG/CASE,46,41,12,B,False
Yog Chob Bulk Plain 0% Fat,6-32 oz,46,40,7,B,False
Bakea Egg Fzn Whl Fortified,30# PAIL,45,63,18,B,False
App Shlfsh Crab Rangoon,120 EA/CS,45,52,7,B,True
Glove Nitrile Pf Large,10-100 EA/CS,45,34,3,B,False
$$ Cup Red Solo 18 Oz,12-30 CT/CS,44,45,8,B,False
$$ Yog Oikos Trip Zero Mixed Berry,12 EA/CS,42,67,1,B,False
Syrup Table,4-1 GAL/CS,42,50,10,B,False
# Cho Soup Black Lentil,6-1/2 GAL,42,44,5,B,False
Clnr Dawn Original 5 Gal,5 GAL,42,35,1,B,False
Shirt Tee Navy Small,EACH,41,102,10,B,False
App Chix Skewer Halal Fire Grld,80 EA/CS,41,45,9,B,False
Sauce Bbq,4-1GAL/CASE,41,31,5,B,False
Chips Tortilla Whit Triangle,12#/CS,40,41,8,B,False
"$$ Plate Paper Anyday 10""",12-22 CT/CS,40,34,5,B,True
$$ Innovasian Potsticker Chix,6-7 OZ/CS,39,40,11,B,False
Nutella 3 Kg,2-3 KG/CS,39,41,4,B,False
# Cho Soup Chickpea Masala,6-1/2 GAL,39,45,10,B,False
Syrup Coffee Classic,*4-LTR/CS,39,37,4,B,False
Liquor Brandy Chris Bros,750 ML,39,36,9,B,False
$$ Lifeway Kefir Strawberry Low Fat,6 EA/CS,39,34,5,B,True
Pretzel Soft Jumbo 5.5Oz,50 EA/CASE,39,34,12,B,True
$$ Yog Chob Flip Cookie Dough,12 EA/CS,38,39,7,B,False
Lid Deli 8-16 Oz Pp,500 EA/CS,38,42,4,B,False
Cntr Deli 16 Oz Pp,500 EA/CS,38,46,1,B,False
Oil Olive Pure,4-1 GAL/CS,37,36,5,B,False
$$ Yog Oikos Vanilla 5.3Oz,12 EA/CS,37,31,7,B,False
Stb Matcha Powder,6-100G/CS,36,53,2,B,True
Pork Ham Smkd Bnls Carve,CATCH WGT/#,36,43,12,B,False
Peppers Jalapeno Slcd,4-1 GAL/CS,36,31,8,B,False
Stb Lid 12/16/26Oz Cold Strawless,1000 EA/CS,35,48,12,B,False
Chix Drums Brd Iqf,29.64#/CS,35,41,12,B,False
Cntr Hinged 12 Oz Safeseal,200 EA/CS,35,41,5,B,False
"Wrap Plstc Film 18""",3 ROLLS/CS,35,36,1,B,False
Deli Pork Prosciutto,CATCH WGT/#,34,77,8,B,False
$$ Yog Chob Strawb/Ban,12 EA/CS,34,36,9,B,True
Stb Cup Cold 26Oz,600 EA/CS,34,36,1,B,False
$$ Sabra Avocado Toast,8-2.7OZ/CS,34,36,11,B,False
Deli Pepperoni Slcd,25 #/CASE,34,33,10,B,False
# Cho Cheese Paneer Cubes,4-5 LB/CS,34,38,10,B,False
Stb Bev Base Mango Dragonfruit,6-1LTR/CS,32,55,3,B,False
Chix Thigh Bone-In,31.75 #/CS,32,43,11,B,False
# Beef Brisket Kosher,CATCH WGT/#,31,133,9,B,True
$$ Bky Cs Brookie,40 EA/CS,31,41,9,B,False
Donut Mini Cake Asst 1.25 Oz,144 EA/CS,31,37,6,B,False
Box Pizza 16X16X2 Corrgtd,50/BDL,31,40,4,B,False
Mix Waffle European,30#/BOX,31,33,9,B,False
$$ Lifeway Kefir Peach Low Fat,6 EA/CS,30,32,7,B,False
Fish Tuna Light Canned,6-66.5 OZ/CS,30,31,6,B,False
Stb Coconut Milk,8-64 OZ/CS,29,50,10,B,False
Vegan Patty Burger,48EA/CS,29,50,8,B,False
Veg Fzn Pot Chips,6-5 LB/CS,29,38,5,B,False
Donut Cruller .8 Oz,140 EA/CS,28,47,26,B,False
Lid Hot 12/16/20Oz Pactiv,1020 EA/CS,28,41,23,B,False
$$ Pringles Original 2.38Oz,12 EA/CS,28,34,12,B,False
Margarine Bulk,30 LB/CS,28,31,6,B,False
Syrup Coffee Caramel,*4-LTR/CS,27,34,10,B,False
Stb Fru Dried Strawberry,12-50 GM/CS,27,33,12,B,False
Peppers Banana Ring,4 GAL/CASE,27,33,20,B,False
$$ Bky Cs Iced Brown,40 EA/CS,27,31,9,B,False
# Hub Bowl Rec 30Oz Compost,400 EA/CS,26,32,10,B,False
Vgtn Chix Tender Incogmeato,10#/CS,25,45,17,B,False
Pierogie Cheddar Cheese,288 EA/BOX,25,33,12,B,True
Pasta Macaroni Elbow,20LB/BOX,25,31,6,B,False
Eggroll Veg 3Oz,96 EA/CS,25,31,11,B,False
Paste Curry Red,*4 CNTR/CS,24,34,14,B,False
$$ Umbrella Super Mini,EACH,23,121,2,B,False
Flatware Cutlerease Knife,960 EA/CS,23,40,15,B,False
Pc Sauce Soy,200 EA/CS,23,31,7,B,False
Stb Cup Hot 12Oz,920 EA/CS,22,36,2,B,False
Cookie Bky Raw Cs 1Oz Candy,120 EA/CS,21,34,6,B,True
Deli Pepperoni Sand,CATCH WGT/#,20,50,1,B,True
# Hub Lid Dome 32&48 Oz Rec Bowl,400 EA/CS,20,34,7,B,False
Dress Caesar Crmy,4/GAL,18,31,12,B,False
Pasta Fzn Tortellini Cheese,10 LB/BOX,16,132,23,B,False
Shirt Tee Navy Xlarge,EACH,15,73,3,B,False
Bakea Flour Pastry,50 LB/BAG,13,69,16,B,False
Sugar Brown #8 Lt,50 LB/BG,13,39,3,B,False
Cup Plstc Souffle 2Oz (Hot),2500/CS,11,42,10,B,False
Honey Whit Clover Kosher,6-5 LB/CS,11,35,17,B,False
Cheese Cheddar Mild Cubed,CATCH WGT/#,9,38,4,B,False
Veg Fzn Edamame,6-2.5 LB/CS,8,41,28,B,False
Beef Patty Slider 2Oz,CATCH WGT/#,5,56,7,B,False
Shlfsh Shrimp Brd 16-20Ct,CATCH WGT/#,5,52,9,B,False
$$ Umbrella Classic Auto Open,EACH,4,57,9,B,False
$$ Umbrella Psu Logoed,EACH,3,51,11,B,False
Pierogie Cheddar Cheese Mini,4-98 EA/CASE,154,31,8,C,False
Pc Cheese Crm Straw,100 EA/CS,132,10,21,C,False
Register Tape Sticky 80Mm,18 ROLLS/CS,115,19,9,C,False
Name Tag-Sch Of Hos Mgmt,EACH,111,104,4,C,False
Box Pizza 10X10X2 Crrgtd,50 EA/BNDL,96,50,9,C,False
Cap Updh Beanie Blk,EACH,90,82,1,C,False
