Product,Unit,Order Qty,Avg Monthly Usage,Stock on Hand,Priority,Seasonal Peak
# Cho Spice Whit Rice,60-90G/CS,5,14,19,C,False
Clnr Ecl Maxx Dual Action,2.5 GAL/CNTR,5,12,7,C,False
Vinegar Whit Distilled Kosher,*4-1GAL/CS,5,12,7,C,False
Lid For 24Oz Square Cntr 2G0,504 EA/CS,5,13,8,C,False
Vinegar Red Wine,4 GAL/CS,5,11,6,C,False
$$ Soymilk Vanilla 8Oz,18-8 OZ/CS,5,11,5,C,False
$$ Hbc Ogx Conditioner Coconut Milk,4 EA/CS,5,11,9,C,True
$$ Halal Sr Coconut Curry Chicken,8 EA/CS,5,9,6,C,False
$$ Gogo Sq Al Blueb Strawb Lemon,6 BX/CS,5,10,11,C,False
Pc Sauce Dipping Swt & Sour,100/CS,5,10,6,C,True
Sweatshirt Qt Zip Navy Small,EACH,5,13,8,C,False
$$ Yp Topokki Rice Cake W/Sauce,30 EA/CS,5,8,6,C,False
Cookie Chinese Fortune Indv,400EA/CS,5,8,3,C,False
App Pickle Chip Fried,6-2#/CS,5,8,9,C,False
$$ Samyang Buldak Hab Lime Ramen 5Pk,8-5 PK/CS,5,10,6,C,False
Vegan Mayo,4-1 GAL/CS,5,7,3,C,False
$$ Smoodi Peanut Protein,12 EA/CS,5,7,1,C,False
$$ Bar Dp Nutrigrain Strawberry,3 BX/CS,5,7,2,C,False
"# Pizza 16"" Cheese",9 EA/CS,5,7,2,C,False
Chix Drumstick,20.5 LB/CS,5,7,3,C,False
# Cho Mint Ginger Lemonade Conc,6-48 OZ/CS,5,8,8,C,False
$$ Ld Advil Pm 6Ct,6 PK/SLV,5,6,9,C,False
Cereal Cold Cheerios,4-29 OZ/CS,5,6,1,C,True
Glove Cut Resistant Xsmall,EACH,5,7,4,C,True
Veg Tomato Paste,6/10 CN,5,6,6,C,False
Cup 12Oz Clear Pet,1000/CS,5,5,1,C,True
Cheese Queso Fresco,4-5LB/CS,5,5,1,C,False
$$ Gatorade Zero Pwdr Glac Freeze,12-10 CT/CS,5,8,4,C,False
# Rugelach Chocolate Kosher,160 EA/CS,5,6,2,C,False
$$ Cc Real Snack Stick Orig Smoke,* 6 BX/CS,5,5,1,C,False
Liquor Rum Dark Myers,750 ML,5,6,2,C,False
Filter Fryer 13.5 X 20.5 Envlp Hp,100 EA/CS,5,4,1,C,False
# Btrsta Mango,4-1 GAL BIB,5,5,1,C,False
$$ Halal Sr Chix Pad Thai,8 EA/CS,5,7,3,C,False
# Bjc Oil Popcorn,4-1 GAL/CS,5,5,1,C,False
$$ Propel Pwdr Kiwi Strawberry,12-10 CT/CS,5,5,1,C,False
Sauce Teriyaki,6-5 LB/CS,4,30,27,C,True
Pc Honey,200 EA/CASE,4,14,15,C,False
Glove Nitrile Pf Medium,10-100 EA/CS,4,14,12,C,False
Cracker Asst Bulk,6.25#/CS,4,13,9,C,False
$$ Ath Kc Buttermilk Maple Flapjack Cup,12 CUPS/CS,4,14,10,C,False
Clnr Ecl Apex Presoak,3-4#/CS,4,12,10,C,False
$$ Rijuice Orange You Glad,12 EA/CS,4,13,8,C,False
Safty Bag Opener,6EA/BOX,4,13,8,C,True
Cereal Cold Frosted Flakes,4-40 OZ/CS,4,11,8,C,False
Veg Peppers Rstd,6-#10CN/CASE,4,10,11,C,False
Bakea Sprinkles White,6 LB/BOX,4,11,10,C,False
Veg Pot Granules/Pearls,6-3.24 LB/CS,4,10,7,C,False
Spice Salt Kosher,12-3#/CASE,4,9,10,C,False
$$ Bolt Probar Strawberry,12 PKGS/SLV,4,9,9,C,True
App Pakora Veg,2-4#/CS,4,13,11,C,False
Tea Teav Green (Zen) Iced 1.25Oz,24-1.25 OZ/CS,4,8,6,C,False
Pasta Gf Penne Kosher,8 BX/CS,4,8,9,C,False
$$ Ld Nasal Spray 6.0Ml,6 EA/SLV,4,7,8,C,False
Pasta Fzn Sht Reg 4Oz,48 CT,4,7,8,C,False
"Daydots Wed 1"" Red",1000 EA/ROLL,4,7,2,C,True
Olive Stuffed Manzanilla,4/GAL,4,6,5,C,False
Cup Plstc Souffle 4Oz (Hot),2500/CS,4,6,6,C,False
Lid Plstc Souffle 4Oz (Hot),2500/CS,4,6,8,C,False
$$ Bar Dp Nutrigrain Apple Cinnamon,3 BX/CS,4,7,1,C,False
$$ My Mochi Sweet Mango Ss,72 EA/CS,4,5,10,C,False
Creamer Coffeemate Frnch Vanilla,3 CNTR/CS,4,5,5,C,False
Pad Scouring Purple,24 EA/BOX,4,5,2,C,False
Paste Gochujang,12 CNTR/CS,4,5,7,C,False
Mirin,6-2 QT/CS,4,5,5,C,False
$$ Gatorade Hydration Citrus Berry,8-6 CT/CS,4,8,5,C,False
Pasta Shells Med,20LB/BOX,4,5,2,C,False
Fill Pie Blueberry,3-10# CN/CS,4,5,2,C,False
$$ Bar Rxbar Blueberry 1.83Oz,* 6 BOX/CS,4,4,1,C,False
Spice Thyme Leaves Kosher,6-6 OZ/CS,4,4,2,C,False
Flatware Bamboo Knife,2000 EA/CS,4,3,1,C,False
# Bjc Carry Out Trays,400/CASE,4,5,2,C,False
Pc Swtnr Artfcl Equal,2000/CASE,4,3,2,C,False
Spice Paprika Hungarian,6 CNTR/CS,4,3,2,C,False
Bakec Carob Drops,25 LB/CS,4,3,3,C,False
# Bjc Box Frybasket White,450 EA/CS,4,7,4,C,False
Bakex Cookie Jar Custom Prnt,EACH,4,6,3,C,True
Fleece Hfs Qtr Zip Navy Med,EACH,4,4,1,C,False
# Btrsta Coconut,4-1 GAL BIB,4,4,1,C,False
$$ Yog Silk Nd Vanilla,8 EA/CS,3,27,29,C,False
$$ Umbrella Golf Psu Logoed,EACH,3,23,7,C,False
Sweatshirt Qt Zip Navy Xlarge,EACH,3,16,5,C,False
Spice Paprika Ground Kosher,6 CNTR/CS,3,12,14,C,False
$$ Stacy'S Parm Garlic Herb 7.33Oz,12 EA/CS,3,11,15,C,False
Hooded Jacket - Large,EACH,3,12,5,C,False
$$ Bare Cinnamon Apple,6 EA/CS,3,10,6,C,False
$$ Oatmilk Chocolate 11 Oz,12-11 OZ/CS,3,9,8,C,False
$$ Bar Perfect Peanut Butter,16 EA/CS,3,10,9,C,False
Box Hinged 1Cmp 9X9X3 Compost,300 EA/CS,3,11,10,C,False
Cntr Takeout Green2Go Reusable,50 EA/CS,3,13,12,C,False
Stb Base Syrup Frappuccino,4-63OZ/CASE,3,9,6,C,False
$$ Bolt Probar Raspberry W/Caffeine,12 PKGS/SLV,3,9,8,C,False
$$ Ld Esset Nail Clipper W File Peg,12 PK/SLV,3,8,7,C,False
"Daydots Fri 1"" Green",1000 EA/ROLL,3,8,4,C,False
Stb Base Creme Frappuccino,4-63OZ/CASE,3,8,5,C,False
$$ Milk Org Chocolate 8Oz,18-8 OZ/CS,3,8,7,C,True
Cup 16Oz Clear Pet,1000/CASE,3,8,4,C,True
"Straw Plstc Jumbo 7.75""",24-500EA/CS,3,7,6,C,False
# Btrsta Creamer Nd Org,3-1 GAL BIB,3,16,15,C,False
Spice Coriander Ground Kosher,6-14OZ/CS,3,7,9,C,False
$$ My Mochi Cookies And Cream 6Pk,12 BX/CS,3,7,6,C,False
Roll Dinner Asst,96 EA/CS,3,7,2,C,True
$$ Hbc Deg Men Cool Rush 2.7Oz,*2-6 EA/CS,3,7,4,C,True
Flatware Bamboo Fork,2000 EA/CS,3,7,5,C,False
"Daydots Thur 1"" Brn",1000 EA/ROLL,3,6,4,C,False
Bagel Gf Plain,6-4PK/CS,3,6,4,C,False
$$ Ld Mouthwash 36 Ml Peg,4 EA/SLV,3,6,2,C,True
Clnr Steam Wand Schaerer,1 LTR BTL,3,8,6,C,True
$$ Pringles Mingles Whit Ched Ranch,6 EA/CS,3,6,3,C,True
$$ Hbc Deg Wm Black & Whit 2.6Oz,*2-6 EA/CS,3,5,2,C,False
Pasta Orzo,16-16 OZ/CS,3,5,4,C,False
Fill Pie Cherry,3-#10 CN/CS,3,5,5,C,False
Spice Paprika Smoked Kosher,6 CNTR/CS,3,5,1,C,False
Fru Fzn Strawb Slcd 4:1,6-6.5#/CASE,3,5,8,C,False
$$ Milk Org Vanilla 8Oz,18-8 OZ/CS,3,5,4,C,True
$$ Kasugai Jelly Grape,24 EA/CS,3,4,2,C,False
$$ Muscle Milk Vanilla 1.93#,2-1.93#/CS,3,8,6,C,False
$$ Lotte Pepero Choco Stick,40 EA/CS,3,4,7,C,False
Stb 701 Tablets,100 EA/BX,3,3,1,C,False
Horseradish Prepared,6-32 OZ/CS,3,3,6,C,False
Sauce Chili,6-#10 CN/CS,3,4,11,C,False
Pasta Ww Penne,20#/CASE,3,4,1,C,True
Ecl Bucket Green 3 Qt Soap Pail,EACH,3,6,4,C,False
$$ My Mochi Vanilla Bean Ss,72 EA/CS,3,3,4,C,False
$$ Ld Nyquil Liquid 1Oz,* 4 BX/CS,3,3,2,C,False
Mix Waffle/Pancake Af,5-3 LB/CASE,3,4,6,C,False
# Cho Spice Tofu/Veg,3.75#/CS,3,5,3,C,False
"# Plate 8"" Sq Bl Plstc",120 EA/CS,3,7,5,C,False
# Boba Creamer Nd,10-2.6 LB/CS,3,4,2,C,False
Dress Cole Slaw,4/GAL,3,3,1,C,False
Spice Parsley Flakes Kosher,* 4 CNTR/CS,3,3,2,C,False
Bakea Molasses Dark Kosher,4 GAL/CS,3,3,2,C,False
Lid Dwh 9/12/20Oz Pla,1000 EA/CS,3,4,2,C,False
$$ Ld Nighttime Cold 16 Ct,36 EA/CASE,3,2,2,C,False
Bakeb Box Cookie Tin 4X4X5,25 EA/BNDL,3,5,3,C,False
Coat Chef Woman Medium,EACH,3,5,3,C,False
Creamer Coffeemate Original,3 CNTR/CS,3,2,1,C,False
# Btrsta Cup 16Oz,1000 EA/CS,3,3,1,C,False
# Guacamole Kosher,12-1#/CS,3,3,1,C,False
Water Flav Mango,3-3 L/CS,2,18,15,C,True
Pad Scouring Hd 3.5X5,20 CS,2,15,12,C,False
Pita Whit Med,12-10CT,2,15,11,C,False
Cup 09Oz Clear Squat Pla,1000 EA/CS,2,14,10,C,True
Glove Cut Resistant Xlarge,EACH,2,14,6,C,False
Fuel Canned 2 Hr Ethanol Base,72 CN/CASE,2,12,4,C,True
$$ Ld Tylenol Cold 6Ct,6 EA/SLV,2,13,11,C,False
$$ Smoodi Tropical Vibes,12 EA/CS,2,12,9,C,False
Stb Coffee Dcf Pike Place 5Oz,32-5 OZ/CS,2,12,9,C,False
Pc Dress Vin Balsamic,60-1.5 OZ/CS,2,11,9,C,False
$$ Samyang Buldak Carbo Ramen 5Pk,8-5 PK/CS,2,10,9,C,True
Napkin Paper Dnr White,1000/CS,2,10,9,C,False
Fru Pears Halves,6/10 CN,2,10,8,C,False
Bakec Icing Whit N Glossy Rtu,43 LB/PAIL,2,11,8,C,False
"Tray Caterware 12"" Black",25/CS,2,10,9,C,False
Bowl 8Oz Compost,500 EA/CS,2,8,4,C,False
Register Tape Micros System,50 ROLL/CS,2,8,5,C,False
# Crmry Cup 16Oz Prtd,1000 EA/CS,2,7,4,C,True
Topping Hershey'S Fudge,4-48 OZ/CS,2,8,5,C,False
"Plate Plstc 9""Scrollware",240 EA/CS,2,7,3,C,False
Bag Kraft Window 5 X 7,500 EA/CS,2,8,2,C,False
$$ Tony'S Dark Choc Pretzel & Toffee,15 EA/CS,2,7,5,C,True
Spice Chili Powder Dark,3-5.5#/CS,2,7,6,C,False
Cereal Cold Reeses Puffs,4-35 OZ/CS,2,6,7,C,False
Bag Poly 22 X 14 X 58,200/CASE,2,6,6,C,False
Pc Dress Ff Vin Raspberry,60 EA/CS,2,6,3,C,False
Bakeb Glz Donut Glaze N Shine,40 LB/PAIL,2,7,10,C,False
Gloves Vinyl Pf Sm Disposable,1000 EA/CS,2,6,7,C,False
Spice Pepper Cayenne Kosher,6 CNTR/CS,2,7,11,C,False
$$ Ld No Doz 6 Ct,6 EA/SLV,2,6,5,C,True
Clnr Ecl Rapid Multi-Surface Dis,2.5GAL/CNTR,2,6,3,C,True
Sleeve Burn Cut Resistant,12 EA/PK,2,7,2,C,False
Stb Extract Frappuccino Rst,24-2 OZ/CS,2,6,3,C,True
Filter Coffee 1.5Gal,500/CASE,2,6,7,C,False
Veg Beets Slcd,6-10 CN/CS,2,5,7,C,False
Flour Rice Whit Kosher,50 # BAG,2,6,3,C,False
Stb Chips Frappucino,6-1# BAGS/CS,2,6,4,C,False
# Boba Juice Poppers Strawberry,4-7LB/CS,2,7,6,C,False
$$ Ld Dentek Flossers 20 Ct,36 PK/CASE,2,5,5,C,True
# Bevi Strawberry Lemongrass,1 GAL,2,6,5,C,False
"Daydots Mon 1"" Blue",1000 EA/ROLL,2,5,3,C,False
# Cho Cup 12 Oz Clear Pet,1000 EA/CS,2,5,5,C,False
Cntr Deli 8Oz Pp,480 EA/CS,2,5,4,C,False
"Wrap Plstc Film 24""X2000'",2 ROLLS/CS,2,4,3,C,False
$$ Ld Anti Bacterial Wipes 30 Ct,24 EA/CASE,2,4,3,C,True
Bakea Short Solid Icing Tff,50#/CS,2,3,2,C,False
Bakeb Choc Drops 10000Ct,50#/CASE,2,4,2,C,False
$$ Ld Anti Diarrheal 4 Ct,6 EA/SLV,2,3,3,C,False
# Boba Syrup Black Sugar,6-64 OZ/CS,2,3,1,C,False
Bakea Choc Chip Whit,25 LB/CS,2,5,4,C,False
Ecl Bucket Red 3 Qt Sani Pail,EACH,2,6,5,C,False
$$ Ath Fresh Blends Org Banana,7.57 LTR/CS,2,4,3,C,False
Bakeb Choc Coating Cookie,10#/CASE,2,5,4,C,False
$$ El Earbuds Aluminum Wired,* 24 EA/CS,2,3,1,C,False
Clnr Ecl Trupower Rinse Add Ap 4-1Gal,4-1GAL/CASE,2,2,1,C,False
Shirt Hfs Polo Mens Navy 2Xl,EACH,2,5,4,C,False
$$ Propel Pwdr Berry,12-10 CT/CS,2,4,3,C,False
Nut Pignoli Pine Nuts,5LB/CASE,2,2,4,C,False
Sbc Cup Hot 12Oz,920 EA/CS,2,3,2,C,False
Peppers Pepperoncini Hot Whl Green,4/GAL,2,2,3,C,False
Lid Cntr 4 Cmp 6X6X1.5 Pla,300 EA/CS,2,2,2,C,False
# Boba Tea Black,20 BAG/CASE,2,2,1,C,False
Sauce Sweet Baby Ray Nashville,4-64 OZ/CS,2,3,2,C,False
Spice Rosemary Whl,6OZ CNTR/CS,2,2,1,C,False
$$ Ath Justins Peanut Butter Honey,* 6 BX/CS,2,2,1,C,False
# Btrsta Film,EACH,2,3,2,C,False
Label Oval Strip Prtd 2Go Bakery,ROLL,2,2,1,C,False
Glove Cut Resistant Large,EACH,1,18,8,C,False
Dress Italian Golden,4/GAL,1,18,12,C,False
Ecl Spray Bottle,EACH,1,23,7,C,False
Hooded Jacket - Xl,EACH,1,21,2,C,False
Cookie Oreo Bulk,14-24EA/CS,1,10,7,C,False
Sauce Cheese Cheddar,6/10 CN,1,10,8,C,True
Wrap Foil Pop-Up 12 X 10,3000 EA/CS,1,10,11,C,False
Bakea Sprinkles Blue,6#/BOX,1,11,3,C,True
Stb Cup Hot 8Oz,660 EA/CS,1,9,7,C,False
$$ Tony'S Milk Choc Caramel Sea Salt,15 EA/CS,1,9,7,C,False
Bag Poly Cover Rack,50/CASE,1,8,3,C,False
Cap Gold Sr Man,EACH,1,11,12,C,False
Bakea Mix Cake Choc,50 LB/BAG,1,8,8,C,False
Beef Meatballs Fc 0.25Oz,10#/CS,1,8,10,C,False
Stb Cup Hot 20Oz,645 EA/CS,1,7,8,C,False
$$ Samyang Qchz Buldak Ramen 5Pk,8-5 PK/CS,1,8,16,C,False
Ecl Pad Scouring Hd 4.5 X 10,10 EA/BX,1,7,7,C,False
$$ Fru Mandarin Orange 4Oz,36 EA/CS,1,7,9,C,False
Fru Fzn Raspberry Red,10#/CASE,1,7,8,C,False
Wrap Tortilla Spinach,6 DOZ/CS,1,6,8,C,False
# Bevi Pomegranate Blueberry,1 GAL,1,8,8,C,False
"Wrap Plstc Film 12""",3 ROLLS/CS,1,6,5,C,False
# Potato Pancake Latke Parve Kosher,288 EA/CS,1,9,9,C,False
$$ Kc Cinnamon Roll Muffin,12 CUPS/CS,1,6,6,C,False
Extract Van Nat & Artfcl,*4-1 GAL/CS,1,5,4,C,True
Egg Bite Turkey Saus Cheese,60 EA/CS,1,7,1,C,True
# Crmry Lid Flat For 16/20Oz Foam Cup,1000 EA/CS,1,6,3,C,True
Sauce Mustard Yel,6-104 OZ/CS,1,5,7,C,False
Cracker Oyster,150PKG/CS,1,5,7,C,False
Bakea Corn Syrup Lt Crystal,4 GAL/CS,1,5,8,C,False
Pasta Bowtie (Farfalle),20LB/CASE,1,5,4,C,False
Bakea Nut Walnut Pcs Lt Amber,30#/CASE,1,5,10,C,False
"Daydots Tue 1"" Yel",1000 EA/ROLL,1,5,3,C,True
Spice Old Bay Seasoning 24Oz,6-24 OZ/CS,1,4,7,C,False
Napkin Disp Printed Bjc,6816 EA/CS,1,6,6,C,False
$$ Gatorade Energy Chews Strawberry,16-6 CT/CS,1,7,7,C,False
$$ Special K Choc Pb Protein Bar,* 6 BX/CS,1,4,2,C,True
# Boba Juice Poppers Mango,4-7 LB/CS,1,5,2,C,True
Cereal Cold Trix,4-32 OZ/CS,1,4,4,C,False
Sauce Fzn Hunan,4-64OZ/CS,1,5,7,C,False
Sauce Worcestershire,4 GAL/CS,1,4,7,C,False
Flatware Bamboo Spoon,2000 EA/CS,1,4,2,C,False
Clnr Ecl Smrtpwr Manual Detergent,2-3#/CS,1,3,2,C,True
Fru Fzn Peach Iqf,2-5#/CS,1,4,2,C,False
Glove Nitrile Pf Small,10-100 EA/CS,1,4,3,C,False
Grain Sorghum,4-24 OZ/CS,1,5,5,C,False
Chix Brst Whl Bnls 7-8Oz,20 LB/CASE,1,4,3,C,True
Paste Vindaloo,4-2.5#/CASE,1,4,2,C,False
Spice Pepper Whit Ground Kosher,6 CNTR/CS,1,2,3,C,False
Cover Table White 54X108,25/CASE,1,3,3,C,False
Shirt Abs Polo Mens Navy Xl,EACH,1,6,6,C,False
Clnr Stb Urnex Coffee Urn Packet,100 PKG/CS,1,2,2,C,False
Ghirardelli Cacao Choc Chip Nd,35# CASE,1,2,2,C,False
Spice Lemon Pepper,6 CNTR/CS,1,2,3,C,False
Sauce Fzn Stir Fry Dark,6-4 LB/CS,1,2,2,C,False
$$ Cheese Nd Cheddar Sliced,* 8 EA/CS,1,2,2,C,False
Bakeb Fill Pie Cherry,20#/PAIL,1,3,3,C,False
$$ Ath Justins Almond Butter Classic,* 6 BX/CS,1,2,2,C,False
Wrap 12X12 Black/White Check,5000/CS,1,1,1,C,False
Ccare Vgtn Chix Breasts Brd,38-5OZ / CS,1,1,1,C,False
$$ Red Plate Cupcake Choc Mini 6Ct,12- 6CT/CS,1,2,2,C,False
